// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// cannot handle single quotes
// kept for backward compatibility until after the 3.1beta5 release of HA
// this implementation is supposed to tolerate incorrect unsaved-value // mappings, for the purpose of backward-compatibility
"//		Iterator iter = extendsQueue.iterator();"
// should be ok performance-wise to generate new delegate instances for each // request since these are locally stack-scoped.  Besides, it makes the code // much easier to read than the old TransactionHelper stuff...
// Constructors ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// BATCH SIZE
// cascade first, so that all unsaved objects get their // copy created before we actually copy //cascadeOnMerge(event, persister, entity, copyCache, Cascades.CASCADE_BEFORE_MERGE);
// this is the second pass through on a merge op, so here we limit the // replacement to associations types (value types were already replaced // during the first pass)
// toggle autoCommit to false if set
// Do we need to drop constraints before dropping tables in this dialect?
// copied from Session:
//maintain correct duplication if loaded in a cartesian product
// this method is a noop if there is a Synchronization!
//expressionTerminators.add(","); // deliberately excluded
// so we "clock over" on the first invocation
//use of a stringbuffer to workaround a JDK bug
//TODO: perhaps this should be some other RuntimeException...
//optimize the hash size to eliminate a rehash.
//some statistics
// intentionally empty
// create new lock that times out immediately
// VERSION UNSAVED-VALUE
"// nothing to do		"
// constructors and factory methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Iterate through the alias,JoinSequence pairs and generate SQL token nodes.
// even though we might find a pre-existing element by join path, we may not be able to reuse it...
// column index
//TODO: used to be exprNoParens! was this needed?
// this is the exception returned by ReflectHelper.getConstructor() if it cannot // locate an appropriate constructor
// HHH-276 : implied joins in a subselect where clause - The destination needs to be added // to the destination's from clause. // Not sure if this is will fix everything, but it works.
// Frontbase has no known variation of a "SELECT ... FOR UPDATE" syntax...
// todo : remove this once ComponentMetamodel is complete and merged
// Invoke setScalarColumnText on each constructor argument.
// Ignore the token class name parameter, and use a specific token class.
//TODO: We probably should have a StatisticsNotPublishedException, to make it clean
// performance opt
// transactions marked for rollback-only cause some TM impls to throw exceptions
// can happen because of the multiple ways Cache.remove() // can be invoked :(
// We ensure ASYNC semantics (JBCACHE-1175)
// we did not find a collection element in the result set, so we // ensure that a collection is created with the owner's identifier, // since what we have is an empty collection
// Check named HQL queries
// Criteria impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"/*public final Currency getCurrency(int col) throws HibernateException {		return (Currency) get(col);	}*/"
// Actually the semantics of the next three are really "Bag" // Note that, unlike objects, collection insertions, updates, // deletions are not really remembered between flushes. We // just re-use the same Lists for convenience.
//<String, String>
// create the collection holding the Orphans
// The current alias is referencing the collection to be eagerly fetched
// sequentially read the result set in reverse until we recognize // a change in the key value.  At that point, we are pointed at // the last physical sequential row for the logical row in which // we are interested in processing
// SUBCLASS PROPERTY CLOSURE
// This will call initialize(tok)!
// if we are still not resolved, we might represent a constant. //      needed to add this here because the allowance of //      naked-prop-refs in the grammar collides with the //      definition of literals/constants ("nondeterminism"). //      TODO: cleanup the grammar so that "processConstants" is always just handled from here
// the user provided resulttransformer, not the one used with "select new". Here to avoid mangling // transformed/non-transformed results.
//check if the managed object is the parent
// the current batch number is the latest batch for this entity type.
// currently only the Hibernate-supplied DbTimestampType is supported here
// A collection of entities...
// Add any joins
// meant to handle dynamic instantiation queries...(Copy from QueryLoader)
// if there is no TM configured, we will not be able to access // the javax.transaction.Transaction object in order to // register a synch anyway.
// If the from element represents a JOIN_FRAGMENT and it is // a theta-style join, convert its type from JOIN_FRAGMENT // to FROM_FRAGMENT
// Handle collection-fiter compilation. // IMPORTANT NOTE: This is modifying the INPUT (HQL) tree, not the output tree!
// A list of collection wrappers that were instantiating during result set // processing, that we will need to initialize at the end of the query
// subclass discrimination works by assigning particular // values to certain combinations of null primary key // values in the outer join using an SQL CASE
// we found some extends attributes referencing entities which were // not already processed.  here we need to locate all entity-names // and class-names contained in this document itself, making sure // that these get removed from the extendz list such that only // extends names which require us to delay processing (i.e. // external to this document and not yet processed) are contained // in the returned result
//  origin, path, implied, columns, classAlias,
// Get the names of the columns used to link between the collection // owner and the collection elements.
//we never need to apply locks to the SQL
// Its the listener instance (or better be)
// This should only be possible if the caches are constructor injected
// Recognition code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// boolean, byte, char, int, short
"//		registerColumnType( Types.CLOB, 16777215, ""mediumtext"" ); //		registerColumnType( Types.CLOB, 65535, ""text"" );"
"/*public boolean isNonExistant(EntityUniqueKey key) {		return nonExistentEntityUniqueKeys.contains(key);	}*/"
// ID UNSAVED-VALUE
// this is the root (versioned) table, and we are using version-based // optimistic locking;  if we are not updating the version, also don't // check it (unless this is a "generated" version column)!
// FOREIGN KEY VIOLATION
//do the test
//NOTE: EARLY EXIT!
// Does this dialect support the FOR UPDATE syntax?
//NOTE: early return
// remove the current element from insertions. It will be added back later.
// CUSTOM SQL
// *load_1 // each type
//only really need new array during semiresolve!
// we have specialized case of a detached entity from the // perspective of the merge operation.  Specifically, we // have an incoming entity instance which has a corresponding // entry in the current persistence context, but registered // under a different entity instance
// we may be screwed here since the collection action is about to execute // and we do not know the final owner key value
// Error message constants.
// List OPERATIONS:
// cached for efficiency...
// while constructor is running
// we *always* assume an instance with a null // identifier or no identifier property is unsaved!
// general purpose parameters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// For an explicit many-to-many relationship, add a second join from the intermediate  // (many-to-many) table to the destination table.  Also, make sure that the from element's  // idea of the destination is the destination table.
//TRANSIENT or DELETED
// handle orphaned entities!!
// ORPHAN DELETE (used for programmer error detection)
// After that, process the JOINs. // Invoke a delegate to do the work, as this is farily complex.
// by default we report no support
// from SortedMap
//ignore!
// the default...
// Otherwise, use the property mapping.
// istore_3 // store i
// TODO : would be really nice to cache the spec on the query-def so as to not have to re-calc the hash; // currently not doable though because of the resultset-ref stuff...
// Sets can be just a view of a part of another collection. // do we need to copy it to be sure it won't be changing // underneath us? // ie. this.set.addAll(set);
//return currentId;
//TODO: include the rowids!!!!
//NOTE EARLY EXIT
// classes mentioned in extends not available - so put it in queue
// amazingly, these two will work because AbstractCollection // uses iterator() to fill the array
/* local variables | target obj | each oldvalue | */
//we can inner join to superclass tables (the row MUST be there) //we can never inner join to subclass tables
// force the proxy to resolve itself
// Default to collections sharing entity cache if there is one
// TODO : temporary initial step towards HHH-1907
//if we are inside a new Result(), but not inside a nested function
// Add the second join, the one that ends in the destination table.
// uuid.hex is deprecated
// WebSphere, however, is not a sane JEE/JTA container...
//MULTITABLES
// If the query is already compiled, skip the compilation.
// if we instantiate a collection during the flush() process, // we must ignore it for the rest of the flush()
//cannot batch fetch by unique key (property-ref associations)
//different nullability rules for pk/fk
//decrement the lock
// find the batch number associated with the current association, if any.
// todo : should really move this log statement to CollectionType, where this is used from...
// Just add a 'not' parent.
// See if the second lookahed token can be an identifier.
//TODO: this dependency is kinda Bad
// then bind it
//remember the uk value
// (NOT (GE a b) ) => (LT a b)
// if everything went ok, commit the transaction and close the obtained // connection handle...
// saves / updates don't cascade to uninitialized collections
// putfield
/*ArrayList sqlResultTypeList,*/
// iterate entries ordered by capacity to find first fit
// at the very least cleanup the data :)
// refer to comment in StatefulPersistenceContext.addCollection()
// handle empty collection
//or its the id property name
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO: handle TypeDefs
//this should be a call to resolve(), not resolveIdentifier(),  //'cos it might be a property-ref, and we did not cache the //referenced value
// This is not strictly true.  We actually just need to make sure that // it is ordered by root-entity PK and that that order-by comes before // any non-root-entity ordering...
// aload_1 // load callback
//Schema export:
"//	public static JDBCException newJDBCException(String string, SQLException root, String sql) { //		string = string + "" ["" + sql + ']'; //		log.error(string, root); //		logExceptions(root); //		return new JDBCException(string, root, sql); //	} // //	public static JDBCException newJDBCException(String string, SQLException root) { //		log.error(string, root); //		logExceptions(root); //		return new JDBCException(string, root); //	}"
// Get the configurator files (if available)
// if the property mapping consists of all formulas,  // make it insertable
"//		SQLQueryParser parser = new SQLQueryParser( //				sqlQuery, //				processor.getAlias2Persister(), //				processor.getAlias2Return(), //				aliases, //				collAliases, //				collPersisters, //				suffixes, //				collSuffixes //		); // //		sql = parser.process(); // //		namedParameterBindPoints = parser.getNamedParameters();"
// PersistentIdentifierGenerator implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~
//TODO: is there a better way?
// Informix doesn't have a bit type
// this should not happen since the DTD prevents it
// We could register the session against the transaction even though it is // not started, but we'd have no guarentee of ever getting the map // entries cleaned up (aside from spawning threads).
// Entity proxies, by EntityKey
"/**	 * Build a ResultSetMappingDefinition given a containing element for the ""return-XXX"" elements	 *	 * @param resultSetElem The element containing the return definitions.	 * @param path No clue...	 * @param mappings The current processing state.	 * @return The description of the mappings...	 */"
// use the id assigned to the instance
//we only check the version when _upgrading_ lock modes
//the user visible aliases, which are unknown to the superclass, //these are not the actual "physical" SQL aliases
// don't create a unique key, 'cos some // databases don't like a UK on nullable // columns
// no auto-flushing to support in stateless session
// Add these directly to the executions queue
// union subclass support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// otherwise, a trim-specification and/or a trim-character // have been specified;  we need to decide which options // are present and "do the right thing" // should leading trim-characters be trimmed? // should trailing trim-characters be trimmed? // the trim-character // the trim-source
// select topic, syntax from information_schema.help // where section like 'Function%' order by section, topic // // see also ->  http://www.h2database.com/html/functions.html
// make sure the lhs is "assignable"...
// entities ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// model.getKey().setType( new Type( model.getIdentifier() ) );
//TODO: move into collection type, so we can use polymorphism!
"//			paramTranslations = new ParameterTranslationsImpl( collectedParameterSpecifications );"
// HELLA IMPORTANT OPTIMIZATION!!!
//index += getPropertyColumnSpan( i ); //TODO:  this is kinda slow...
//notice that we skip the first table; it is the driving table!
// in non-select queries, the only time we should need to join is if we are in a subquery from clause
// Configured using the JAXP Configurator
// again, CCS did not have such a concept; however a reasonable // proximity is to clear the cache.  For non-transaction aware // caches, we will also do a clear at the end of the transaction
// Fully resolve the map reference, create implicit joins.
// iconst_i // continue to aastore // growing stack is 1
// Overridden informational metadata ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Mckoi has no known variation of a "SELECT ... FOR UPDATE" syntax...
// aload_3 // load the raw bean
// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call start
// Generate an explicit join for the root dot node.   The implied joins will be collected and passed up // to the root dot node.
//tolerates nulls
// expected type is intrinsic here...
// no need to even collect this information if the persister is considered multi-table
// includes last '.'
// TODO: an alternative is to check if the owner has changed; if it hasn't then // get the ID from collection.getOwner()
// otherwise (subquery case) dont reuse the fromElement if we are processing the from-clause of the subquery
//NOTE: we avoid joining to the next table if the named property is just the foreign key value
// lock acquisition support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// aastore // args
// starts with the name of a mapped class (new style)
//SessionFactory name:
// Simple tests that require no synchronization
//NOTE: unlike all other Loaders, this one is NOT //      multithreaded, or cacheable!!
//it might be an unwrapped collection reference! //try to find a wrapper (slowish)
"//		origin.addDestination(destination); // Add the query spaces."
//private final String unquotedIdentifierColumnName;
//DELETED
// adds remove as a sort-of alias for delete...
// (NOT (NOT_LIKE a b) ) => (LIKE a b)
// sql-server, at least needed this dropped after use; strange!
//unwrap the object
// yick!  need this for proper serialization/deserialization handling...
// Collection load contexts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If you're closing down the ConnectionProvider chances are an // is not a real big deal, just warn
//TODO: switch statements are always evil! We already had bugs because  //      of forgotten token types. Use polymorphism for this!
// found a ctor, but it was not publicly accessible so try to request accessibility
// If this from element is a collection and the path is a collection property (maxIndex, etc.) then // generate a sub-query.
// Generate the inner join -- The elements need to be joined to the collection they are in.
// Filter conditions need to be inserted before the HQL where condition and the // theta join node.  This is because org.hibernate.loader.Loader binds the filter parameters first, // then it binds all the HQL query parameters, see org.hibernate.loader.Loader.processFilterParameters().
// Regions can get instantiated in the course of normal work (e.g. // a named query region will be created the first time the query is // executed), so suspend any ongoing tx
// brand new collection //TODO: or an array!! we can't lock objects with arrays now??
//Enable for HHH-440, which we don't like:
//TODO: improve this hack!
// The keyword used to specify a nullable column.
// *return // each type
// log a message about potential connection leaks
// Append the new property name onto the unresolved path.
// Fix up the resident flag
// Currently *not* cachable if autodiscover types is in effect (e.g. "select * ...")
// create one
//TODO: deprecated, remove eventually
// Use the table fromElement and the property name to get the array of column names.
//scan for next non-whitespace token
//We do not look for an existing join on the same path, because //it makes sense to join twice on the same collection role
//Generators:
// The rest only matters for optimistic locking, where we // need to establish the proper data version on the region root
// superclass entity-name
// make sure this "name" is an integral
//if there is no property-ref, assume the join //is to the subclass table (ie. the table of the //subclass that the association belongs to)
//TODO: can we *always* use the "null property" approach for everything?
// strip the " where "
// continue...; we'll find out if it ends up not getting saved later
// NOTE : this is being used from the process of shutting down a // SessionFactory. Specific things to consider: // (1) this clearing of the region should not propagate to // other nodes on the cluster (if any); this is the // cache-mode-local option bit... // (2) really just trying a best effort to cleanup after // ourselves; lock failures, etc are not critical here; // this is the fail-silently option bit...
// the user specifically supplied insert="true", // which constitutes an illegal combo
// from the collection of associations, locate OJA for the // ManyToOne corresponding to this persister to fully // define the many-to-many; we need that OJA so that we can // use its alias here // TODO : is there a better way here?
//get 'em in the right order (not that it really matters)
//skip the FROM keyword in params
//TODO: terrible implementation!
// add the current fragment to the THETA_JOINS node
// Do the corresponding RHS
// convenience methods relating to operations across arrays of types...
//or Types.LONGVARCHAR?
// more specifically : "? [op] datetime" //      1) if the operator is MINUS, the param needs to be of //          some datetime type //      2) if the operator is PLUS, the param needs to be of //          some numeric type
//TODO: COPY/PASTE FROM SessionImpl, pull up!
// We don't want to waste effort setting an option if JBC is // already in LOCAL mode. If JBC is REPL_(A)SYNC then check // if they passed an config option to disable query replication
// below is for Cache' that don't have str in 2007.1 there is str and we register str directly
//    protected RegionRootListener listener;
// Create SQL_TOKEN nodes for the columns.
// checkcast (case of primitive type) // invokevirtual (case of primitive type)
//TODO: is this right??
// Don't resolve the node again.
/* static methods only - hide constructor */
// serialization ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Create a parameter specification for the collection filter...
// The path may be a reference to an alias defined in the parent query.
// would be better to use the element-type to determine // whether the old and the new are equal here; the problem being // we do not necessarily have access to the element type in all // cases
// Add the type to the list of returned sqlResultTypes.
//by requiring <, we rely on lock timeout in the case of an unsuccessful update!
// HHH-2300
// evicts don't cascade to uninitialized collections
// Turn off includeSubclasses on all FromElements.
// 60 seconds
// todo: this was added to support initializing an entity's EntityEntry snapshot during reattach; // this should be refactored to instead expose a method to assemble a EntityEntry based on this // state for return.
//put() has nowait semantics, is this really appropriate? //note that it needs to be async replication, never local or sync
//TODO: is there a more elegant way than downcasting?
// First, try to get the persister using the given name directly.
//safe from concurrent modification because of how entryList() is implemented on IdentityMap
//TODO: we should throw an exception if we really *know* for sure   //      that this is a detached instance, rather than just assuming //throw new StaleObjectStateException(entityName, id);
//TODO: handle property-ref
//TODO: this class depends directly upon CriteriaImpl,  //      in the impl package ... add a CriteriaImplementor  //      interface
// TRIM(end_keyword string-expression-1 FROM string-expression-2) // use Hibernate implementation "From" is one of the parameters they pass in position ?3 //registerFunction( "trim", new SQLFunctionTemplate(Hibernate.STRING, "trim(?1 ?2 from ?3)") );
// Caches
// The associated entity is implied, but it must be included in the FROM. // The collection alias is the role.
// *** Sequence methods - start. The RDMS dialect needs these
// End unit of work
//TODO: the i==entitySpan-1 bit depends upon subclass implementation (very bad)
// determine the id getter and setter methods from the proxy interface (if any) // determine all interfaces needed by the resulting proxy
//Make 100% certain that this is called before any subsequent ScheduledUpdate.afterTransactionCompletion()!!
//FIXME: get the PersistentClass
// this entity defines proeprty generation, so process those generated // values...
// loading collection xrefs ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Handles things like: // a and b or c // a and ( b or c ) // not a and not b // not ( a and b ) // x between y and z            (overloaded "and") // x in ( a, b, c )             (overloaded brackets) // not not a // a is not null                (overloaded "not") // etc...... // and expressions like // foo = bar                    (maps to: foo.id = bar.id) // foo.Bar = 'foo'              (maps to: foo.bar = 'foo') // foo.Bar.Baz = 1.0            (maps to: foo.bar = bar.id and bar.baz = 1.0) // 1.0 = foo.Bar.Baz            (maps to: bar.baz = 1.0 and foo.Bar = bar.id) // foo.Bar.Baz = a.B.C          (maps to: bar.Baz = b.C and foo.Bar = bar.id and a.B = b.id) // foo.Bar.Baz + a.B.C          (maps to: bar.Baz + b.C and foo.Bar = bar.id and a.B = b.id) // ( foo.Bar.Baz + 1.0 ) < 2.0  (maps to: ( bar.Baz + 1.0 ) < 2.0 and foo.Bar = bar.id)
// todo : currently expects that the individual with expressions apply to the same sql table join. //      This may not be the case for joined-subclass where the property values //      might be coming from different tables in the joined hierarchy.  At some //      point we should expand this to support that capability.  However, that has //      some difficulties: //          1) the biggest is how to handle ORs when the individual comparisons are //              linked to different sql joins. //          2) here we would need to track each comparison individually, along with //              the join alias to which it applies and then pass that information //              back to the FromElement so it can pass it along to the JoinSequence
//EARLY EXIT!
// put the "standard" tuplizers into the tuplizer map first
// not so sure this is even valid subtree.  but if it was, it'd // represent two unrelated table references...
// This method should be implemented assuming it's valid to  // do start/stop/start -- leave state appropriate for another start
// Inner classes ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//render the SQL
// assume this is a newly instantiated transient object // which should be saved rather than updated
// Code to handle subclasses of topClass
// all DistinctRootEntityResultTransformer are considered equal ~~~~~~~~~~~
// try to make sure we don't wrap and already wrapped session
//nothing to do
// The where clause was added to eliminate this statement from Brute Force Searches.
// might happen with a managed connection
// we have a CGLIB enhanced entity
//element //index -> id
// we already know current is not null...
//TODO: this is a bit arbitrary, expose a switch to the user?
//TODO: better to degrade to lazy="false" if uninstrumented
//TODO: disable batch loading if lockMode > READ?
//postDelete: // After actually deleting a row, record the fact that the instance no longer  // exists on the database (needed for identity-column key generation), and // remove it from the session cache
// FIXME Hacky workaround to JBCACHE-1202
// Anyway, here we implement <set> semantics for a // <one-to-many> <bag>!
// we have a Javassist enhanced entity
// revert to traditional hibernate behavior of setting initialPoolSize to minPoolSize // unless otherwise specified with a c3p0.*-style parameter.
// set the Transaction Isolation if defined
// contained elements:
// The FROM fragment will probably begin with ', '.  Remove this if it is present.
//Arrays.asList doesn't do primitive arrays
//return memberPersister.getType();
//before add :-)
//skip the driving table
//pre H3.2 behavior: super.getReturnType(ct, m);
// determine if the collection elements are entities...
//real hacky... // used to count the nesting of parentheses
//init the aliases, after initing the constructornode
// The user requested a "greater" (i.e. more restrictive) form of // pessimistic lock
// Set the attributes of the property reference expression.
// TODO: RESTRICT VIOLATION
// inner joins can be abbreviated to 'join'
//pad with nulls from the current last element up to the new index
//shortcut
// For the case of dynamic-insert="true", we need to generate the INSERT SQL
//it must be a collection fetch
// Transaction settings:
//TODO:refactor + make this method private
// Add NOT if it's negated.
// todo : move to StringHelper?
//woops we got an instance of another class hierarchy branch
// make it circular-reference safe
// Generate an 2d array of column names, the first dimension is parallel with the // return types array.  The second dimension is the list of column names for each // type.
//allow ODMG OQL style: from Person p, p.cars c
//persistent collections may have components
// updateable only because the user did not specify  // anything; just override it
// todo : add support for READ_WRITE ( + NONSTRICT_READ_WRITE ??? )
// ( (Column) discrim.getColumnIterator().next() ).setType(type);
//TODO: merge into one method!
/* local variables | this | callback | */
// ldc // field name
// check to see if the connection is in auto-commit  // mode (no connection means aggressive connection // release outside a JTA transaction context, so MUST // be autocommit mode)
// TODO: It would be really, really nice to use this to also model components!
// Oracle8 and previous define only a "DATE" type which //      is used to represent all aspects of date/time
// Fetch can't be used with scroll() or iterate().
//saveOrUpdateCopy() is deprecated!
//Blobs are ignored by merge()
"//			boolean put = persister.getCache().insert(ck, cacheEntry);"
// update() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Treat explict from elements in sub-queries properly.
// the entry will be removed after the flush, and will no longer // override the stale snapshot // This is now handled by removeEntity() in EntityDeleteAction //persistenceContext.removeDatabaseSnapshot(key);
// Create the join element under the from element.
// the entity name
// some filters affecting the collection are enabled on the session, so do not do the put into the cache.
"//	public List getCollectionAliases() { //		return collectionAliases; //	} // //	/*public List getCollectionOwners() { //		return collectionOwners; //	}*/ // //	public List getCollectionOwnerAliases() { //		return collectionOwnerAliases; //	} // //	public List getCollectionPersisters() { //		return collectionPersisters; //	} // //	public Map getAlias2Persister() { //		return alias2Persister; //	} // //	/*public boolean isCollectionInitializer() { //		return isCollectionInitializer; //	}*/ // ////	public List getPersisters() { ////		return persisters; ////	} // //	public Map getAlias2OwnerAlias() { //		return alias2OwnerAlias; //	} // //	public List getScalarTypes() { //		return scalarTypes; //	} //	public List getScalarColumnAliases() { //		return scalarColumnAliases; //	} // //	public List getPropertyResults() { //		return propertyResults; //	} // //	public List getCollectionPropertyResults() { //		return collectionResults; //	} // // //	public Map getAlias2Return() { //		return alias2Return; //	}"
// then the pojo tuplizer, using the dynamic-map tuplizer if no pojo representation is available
"//		registerColumnType( Types.BLOB, 16777215, ""mediumblob"" ); //		registerColumnType( Types.BLOB, 65535, ""blob"" );"
// register a cleanup synch
// DB-OBJECTNAME
// it is a simple table alias {foo}
"/*ArrayList list = new ArrayList();			list.addAll( getKey().getConstraintColumns() );			list.addAll( getIndex().getConstraintColumns() );			getCollectionTable().createUniqueKey(list);*/"
// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable
//lists, arrays //sets, maps, bags
// aload_2 // args
// this is used during SqlGenerator processing
// Parameter handling code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//PostLoad is needed for EJB3 //TODO: reuse the PostLoadEvent...
// no-op. We don't own the cache so we shouldn't stop it.
//for sets, we should end the collection load after resolving //the entities, since we might call hashCode() on the elements //TODO: or we could do this polymorphically, and have two //      different operations implemented differently for arrays
//handle quoted strings
// these are just two unrelated table references
// otherwise, perform a "deep equivalence" check...
// add the primary key
// First, try to find a matching constructor accepting a ViolatedConstraintNameExtracter param...
// short-circuit for performance...
//private CacheEntry cacheEntry;
// cache these since they are stateless // this one could even be static...
// now anything that is not a HQL keyword
// Add the condition to the join sequence that qualifies the indexed element.
// we can't batch joined inserts, *especially* not if it is an identity insert; // nor can we batch statements where the expectation is based on an output param
// get meta's from // <joined-subclass>
// properly handle property-ref-based associations
// Collection wrappers, by the CollectionKey //key=CollectionKey, value=PersistentCollection
//TODO: add owner argument!!
"// todo : for 4.0 //	private static final Logger log = LoggerFactory.getLogger( SQLStatementLogger.class ); // this is the legacy logging 'category'..."
// If true then execute db updates, otherwise just generate and display updates
//before cascade! //TODO: should this be Session.instantiate(Persister, ...)?
// iterate all the entities currently associated with the persistence context.
// ... and the token could be an identifer and the error is // a mismatched token error ...
// Note : expected in the syntax: //      type=listenerClass //          ({sep}type=listenerClass)* // where {sep} is any whitespace or comma
// Make sure JBC doesn't look one up
// context-entity-identifier returns null explicitly if the entity // is not associated with the persistence context; so make some // deeper checks...
//TODO: validate existing of property with the chosen name. (secondpass )
// treat it as a path expression
// return new uninitialized proxy
// now get an existing proxy for each row element (if there is one)
// --------------------------------------------------------- Public Methods
//identifier collections not supported for 1-to-many
// The HQL class alias refers to the class name.
//xml is the entity name
// todo : remove
// athrow
// If there is no data type for this node, and we're at the end of the path (top most dot node), then // this might be a Java constant.
// substitutes into values by side-effect
//for arrays, we should end the collection load before resolving //the entities, since the actual array instances are not instantiated //during loading //TODO: or we could do this polymorphically, and have two //      different operations implemented differently for arrays
// VERY IMPORTANT!!!! - This class needs to be free of any static references // to any CGLIB or Javassist classes.  Otherwise, users will always need both // on their classpaths no matter which (if either) they use. // // Another option here would be to remove the Hibernate.isPropertyInitialized() // method and have the users go through the SessionFactory to get this information.
// aliases for identifier ( alias.id ); skip if the entity defines a non-id property named 'id'
// if the collection belonged to a different entity, // clean up the existing state of the collection
// *** Sequence methods - end
//TODO: theoretically non-threadsafe...
// if debug level is enabled, then log the password, otherwise mask it
// limit/offset support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// if the natural-id is marked as non-mutable, it is not retrieved during a // normal database-snapshot operation...
//TODO: currently keeps Getters and Setters (instead of PropertyAccessors) because of the way getGetter() and getSetter() are implemented currently; yuck!
//TODO: get SQL rendering out of here
// early exit...
// ignore this row of results! Note the early exit
//TODO: to handle concurrent writes correctly, this should return a Lock to the client
// If JBC is using INVALIDATION, we don't want to propagate changes. // We use the Timestamps cache to manage invalidation
// dotcount>=2
// Configured outside of Hibernate (i.e. Servlet container, or Java Bean Container // already has Proxool pools running, and this provider is to just borrow one of these
// Default to sharing the entity cache if there is one
// TODO : add this info to the translator and aggregate it here...
//do not use proxiesByKey, since not all //proxies that point to this session's //instances are in that collection!
//TODO: check that entry.getIdentifier().equals(requestedId)
// should indicate that we are processing an INSERT/UPDATE/DELETE // query with a subquery implied via a collection property // function. Here, we need to use the table name itself as the // qualification alias. // TODO : verify this works for all databases... // TODO : is this also the case in non-"indexed" scenarios?
// INDEX AND ROW SELECT
// we finish all the "removes" first to take care of possible unique // constraints and so that we can take better advantage of batching
//a newly instantiated collection can't have orphans
//TODO: something with formulas...
// only the identifier property field name can be a reference to the associated entity's PK...
// COLUMN(S)
//This is really ugly, but necessary:
// public getters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Don't hold the JBC node lock throughout the tx, as that // prevents updates // Add a zero (or low) timeout option so we don't block // waiting for tx's that did a put to commit
// ROLENAME
//public Currency getCurrency(int col) throws HibernateException;
// check to see if our "propPath" actually // represents a property on the persister
// The unique property value represented here may or may not be // serializable, so we do an explicit check here in order to generate // a better error message
// right represents a joins originating from left...
// iload_3 // i
// Custom sql
// (NOT (LIKE a b) ) => (NOT_LIKE a b)
//swallow
// Display the dialect version.
// Use the DOT node to emit the first column name. // Create the column names, folled by the column aliases.
// for native-sql queries, the param metadata is determined outside // any relation to a query plan, because query plan creation and/or // retreival for a native-sql query depends on all of the return // types having been set, which might not be the case up-front when // param metadata would be most useful
// Since this is an explicit FROM element, it can't be implied in the FROM clause.
// do this when all the properties are updateable since there is // a certain likelihood that the information will already be // snapshot-cached.
// *load_1
//we ran out of ids to try
"//		 This assumes you will want to ignore any update counts "
// TimesTen has no BLOB/CLOB support, but these types may be suitable  // for some applications. The length is limited to 4 million bytes.
