// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// // construct the super-proxy method //
// line 368
// We do this b/c make_tmpname might be overridden
// This code exploits the fact that all .jar files will be found for the JarredScript feature. // This is where the basic extension mechanism gets fixed
// line 800
// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// Clean-up string representation so that it could be understood // by Java's BigDecimal. Not terribly efficient for now. // 1. MRI allows d and D as exponent separators
// long, slow way causes disabling for defined
// generate fixnums initialization code
// line 1374
// Single '~' as whole path to expand
// CRuby uses sprintf(buf, "%.*g", FLOAT_DIG, d); // This pattern adjusts the output of String.pattern("%g") to mimic // the C version.
/* $!: error string */
// line 1366
// normal new class implementing interfaces
// Initial v - the reciprocal // v0 = 1/(2*x)
// allow MainExitException to propagate out for exec and friends
// ?o  | boolean | True if file1 exists and is owned by the caller's effective uid
// line 779
// we don't have to define any that we don't support; see socket.c
// construct a new cache with thread's classloader and no limit
// line 1779
//            e.printStackTrace();
// TODO: put these nil guards into tree (bigger than I want to do right now)
// First try to use drive letter from supplied dir value, // then try current work dir.
// load always uses IRubyObject[], so simple closure offset calculation here
// line 1267
// set Ruby
// then deliver mail to the target
// must be a public class
// Check for a builtin first.
// rename via Java API call wasn't successful, let's try some tricks, similar to MRI
// line 1911
// line 986
// No point in updating number if last number was same value.
// no match, append remainder of buffer and continue with next block
//        ByteList buffer = null;
// ENEBO: Perhaps slow but simple for now
// JRUBY-2380, associate thread early so it shows up in Thread.list right away, in case it doesn't run immediately
// FIXME: No, I don't like it.
// Get map of all fields we want to define.
// getSimplifiedOperand returns the value of this operand, fully simplified // getSimplifiedOperand returns the operand in a form that can be materialized into bytecode, if it cannot be completely optimized away // // The value is used during optimizations and propagated through the IR.  But, it is thrown away after that. // But, the operand form is used for constructing the compound objects represented by the operand. // // Example: a = [1], b = [3,4], c = [a,b], d = [2,c] //   -- getValue(c) = [1,[3,4]];     getSimplifiedOperand(c) = [1, b] //   -- getValue(d) = [2,[1,[3,4]]]; getSimplifiedOperand(d) = [2, c] // // Note that a,b,c,d are all objects, and c has a reference to objects a and b, and d has a reference to c. // So, if contents of a or b is modified, the "simplified value"s of c and d also change!  This difference // is captured by these two methods.
// v += g*v     ~ 1/2/sqrt()
// self // name
// long name option
// SSS FIXME: Incomplete!
// initialize the root of the class hierarchy completely
// ARGF, $< object
// Replace memory object with one that throws an exception on any access
// switch // if
//         data.currentFile.callMethod(context, "lineno=", line);
// otherwise, use normal args compiler
// line 1872
// TODO: Generalize this type-checking code into IRubyObject helper.
// SunSignalFacade
// TODO: This probably isn't the best hack, but it works until we can have different // root frame setup for 1.9 easily.
// If we hold a Java object, we need a java_class accessor
// line 1362
// A cloned method now belongs to a new class.  Set it. // TODO: Make DynamicMethod immutable
/* NUL */
// if arity 1, just compile the one element to save us the array cost
// Shift_JIS
// __END__ marker offset (-1 means none present)
// initial size // state stack // value stack // current input // #tokens to shift
// NOTE: Since we are processing ASTs, loop bodies are processed in depth-first manner // with outer loops encountered before inner loops, and inner loops finished before outer ones. // // So, we can keep track of loops in a loop stack which  keeps track of loops as they are encountered. // This lets us implement next/redo/break/retry easily for the non-closure cases
// line 655
// Until we get a little more solid on 1.9 support we will only run interpreted mode
// line 1149
// line 782
// ?c  | boolean | True if file1 is a character device
// Default objects
// line 607
// 128K seems to be the minimum at which the stat+seek is faster than reallocation
// line 1968
// line 1806
// string doesn't share any resources
// line 391
// Setting the loader needs to reset the class cache
//    protected void finalize() throws Throwable { //        System.err.println("***ObjectProxyCache " + id + " finalized at "+ new java.util.Date()); //    }
"/*     *  Constructor for internal usage (mainly for Array#|, Array#&, Array#- and Array#uniq)     *  it doesn't initialize ifNone field     */"
// FIXME: not very efficient
// add setPosition impl, which stores filename as constant to speed updates
// must have been loaded from our known classloader hierarchy
// write out a static initializer for frame names, so it only fires once
// line 1465
// line 1598
// FIXME: Ruby 1.9 post args code needs to come here
// start off with a neutral parent
// if an extension is specified, try more targetted searches
// line 327
// default PidGetter
// states
// def instructions
// generate method cache initialization code
// line 1636
// line 634
// Workaround for a bug in Sun's JDK 1.5.x, see // http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6303753
//        Class<?> script1 = ((DefaultMethod) runtime1.getObject().getMethods().get("foo")).getJITCompilerScript().getClass(); //        Class<?> script2 = ((DefaultMethod) runtime2.getObject().getMethods().get("foo")).getJITCompilerScript().getClass();
// Add Pointer::NULL as a constant
// look for mangling markers for bound, unframed methods in class name
// Ruby uses Qnil here, we use "dummy" because we need a class
// line 1169
// 4 -> e+nn / e-nn
// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script
// need to skip IncludedModuleWrappers
// wrap self and store the wrapper
// create the closure class and instantiate it
// Build closure body and return the result of the closure
// If no release method is defined, then memory leaks will result.
// caching constructors, as they're accessed for each new instance
// b64_xtable for decoding Base 64
// root-level methods
// Let's only generate methods for those the user may actually  // intend to override.  That includes any defined in the current // class, and any ancestors that are also JavaProxyClasses (but none // from any other ancestor classes). Methods defined in mixins will // be considered intentionally overridden, except those from Kernel, // Java, and JavaProxyMethods, as well as Enumerable.  // TODO: may want to exclude other common mixins?
// remain where we are
// line 1847
// all precision numebers printed
// Make mantissa same sign so we only have one code path.
// // construct the proxy method //
// must be at least one digit for strict
// IN is the same!
// block argument assignment, if there's a block arg
// Build IR for body
// line 720
// build each "when"
// line 836
// line 1655
// copy and splat arguments out of the scope to use for zsuper call
// temp method to verify tableSize value // must be called under lock
// TODO: callback for value would be more efficient, but unlikely to be a big cost (constants are rarely assigned)
// What we passed to the constructor for method 'path'
// line 486
// TODO: CLONE_SETUP here
// TODO: set our metaclass to target's class (i.e. scary!)
// will have a trailing '.'
// line 1192
// promise to implement three with block
// line 152 "-" // %token constants
// reduce (yyN)
// ------- Abstract methods without a default implementation -------
// Fast path since JNA stat is about 10x slower than this
// args array
// SYNC_FLUSH
// see note above re: return type
// Our values holder (name of variables are kept in staticScope)
// line 729
// line 1392
// only public static fields that are valid constants
// This appears to be some windows-only mode.  On a java platform this is a no-op
//[RubyClass] //[RubyClass, RubyClass] //[RubyClass] //[] //[self] //[RubyClass] //[RubyClass, RubyClass]
// invoke run with threadcontext and topself
// Find out which string to check.
// FIXME: create AttrReaderMethod, AttrWriterMethod, for faster attr access
// add array construction methods
// Args
// FIXME this below is temporary, but its much safer for COW (it prevents not shared Strings with begin != 0) // this allows now e.g.: ByteList#set not to be begin aware
// if a source extension is specified, try all source extensions
// prefill ?
// XXX This constructor is a hack to implement the __END__ syntax. //     Converting a reader back into an InputStream doesn't generally work.
// exception instructions
// FIXME: missing arity check
// line 1651
// If 'r' is not a constant, it could actually be a compound value! // Look in our value map to see if we have a simplified value for the receiver.
// In case when the number of occurences is // explicitly specified, we have to read up // the remaining garbage after the '\0' to // satisfy the requested pattern.
// Special form of sprintf that returns a RubyString and handles // tainted strings correctly.
// switch // while
// entry exists, proxy has been gc'ed. replace entry.
// element set
// line 1702
// construct the class, implementing all supertypes
// no binding given, use (eval)
// Check the entry.setValue values come back out ok
"/*      * plain internal array assignment     */"
// any ivars, since we don't have __attached__ ivar now
// SSS FIXME: What happens to the add class in this case??
// reopen a java module
// line 1785
/* FIXME: Consider fixing node_assign itself rather than single case*/
// advance to first entry
// static invocation
// numeric host, use it for port
// line 1054
// throw redo error if we're still good
// line 1126
// Map keep track of the next available variable index for a particular prefix
// useful for code completion inside the IRB
// Short-hand (e.g. %{,%.,%!,... versus %Q{).
// get any included interfaces
// Map of constants defined in this scope (not valid for methods!)
// FIXME: When we get JNA3 we need to properly write this to errno.
// dup2 new fd into self to preserve fileno and references to it
// Windows is LLP64
// line 271
// TODO: remove
// line 1231
// Strip off the O_ prefix, so they become File::RDONLY, and so on
// line 1287
// The method doesn't need a scope or static scope; frame only
// check for frame field reads or writes
// these are all simple cases that don't require the heavier defined logic
// we reached the end
// Look through all mappings to find a match entry for this field
// if more than 4 vars, get values array too
// line 1711
// do nothing, leave empty
// if we might be moving this time from !DST -> DST, the offset is assumed // to be the same as it was just before we last moved from DST -> !DST
// create the default thread group
// Set a value in the RubyHash
// *must* be power of 2!
// ?G  | boolean | True if file1 exists and has a group ownership equal to the caller's group
// By default, no simplifications!
// Look in classpath next (we do not use File as a test since UNC names will match) // Note: Jar resources must NEVER begin with an '/'. (previous code said "always begin with a /")
// assign given optional arguments to their variables
// If the call has been optimized away in the previous step, it is no longer a hard boundary for opts!
// Construct local variables based on parameter names passed in
// reset the state
// line 587
// line 1307
// standard constructor that accepts Ruby, RubyClass
// Found end marker for this heredoc
// Initialize Kernel and include into Object
//  Single node on list
/* brace to match it.  Bracket expressions must be */
//[boolean]
// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518
// line 1507
// line 1084
// state[i] &= 0xffffffffL;
// singleton classes don't get their own visibility domain
// line 1075
// This method has JITed already or has been abandoned. Bail out.
// Ensure we have a new interpreter for each test. Previous we were using the //  same interpreter which caused problems as soon as one test failed.
// MRI does similar thing on MacOS X with 'EditLine wrapper'.
// rb_enc_reg_error_desc
// delete implementation
// this is where we'll get connected when classes are opened using // package module syntax.
// // Ruby-level methods //
// line 1632
// TODO: turn off readable? am I reading this right? // This only seems to be used while duping below, since modes gets // reset to actual modes afterward //fptr->mode &= (m & FMODE_READABLE) ? ~FMODE_READABLE : ~FMODE_WRITABLE;
// if we haven't already decided on a do-nothing call
// line 876
// line 1108
// Empirical Observations: // null -> Some arity // argsNode == this.argsNode then check for arity changes // newline(splatnode) -> argspushnode
// handle security-sensitive case
// The operand that this attribute targets //    DEFERRED //    AttributeValue _val;       // Attribute value
// rest of the argument array!
// No argument blocks
// FIXME: Don't allow multiple threads to do this at once
// ?g  | boolean | True if file1 has the \CF{setgid} bit
// ----- Ruby Instance Methods -------------------------------------------------
// interrupt the target thread in case it's blocking or waiting // WARNING: We no longer interrupt the target thread, since this usually means // interrupting IO and with NIO that means the channel is no longer usable. // We either need a new way to handle waking a target thread that's waiting // on IO, or we need to accept that we can't wake such threads and must wait // for them to complete their operation. //threadImpl.interrupt();
// Don't bother
// We get canonical path to try and flatten the path out. // a dir '/subdir/..' should return as '/' // cnutter: Do we want to flatten path out?
// // Now read unbuffered directly from the file //
// Signal uses sun.misc.* classes, this is not allowed // in the security-sensitive environments
// Check the visibility of the previous frame, which will be the frame in which the class is being eval'ed
// FIXME: We should really not be creating the dynamic scope for the root // of the AST before parsing.  This makes us end up needing to readjust // this dynamic scope coming out of parse (and for local static scopes it // will always happen because of $~ and $_). // FIXME: Because we end up adjusting this after-the-fact, we can't use // any of the specific-size scopes.
// MRI behavior: -0 and +0 are two different things
/* ----------- Public methods with a default implementation ---------- */
// line 801
// EntryRefs include hash with key to facilitate lookup by Segment#expunge // after ref is removed from ReferenceQueue
// line 513
// package scheme 2: separate module for each full package name, constructed  // from the camel-cased package segments: Java::JavaLang::Object,
// IRubyObject, DynamicMethod, ThreadContext, IRubyObject, RubyClass, String, IRubyObject
// FIXME: This is copied code from RubyArray.  Both RE, Struct, and Array should share one impl // This is also hacky since I construct ruby objects to access ruby arrays through aref instead // of something lower.
// for each simple method name, implement the complex methods, calling the simple version
// Ruby code frequently uses a platform check to choose "NUL:" on windows // but since that check doesn't work well on JRuby, we help it out
// SSS FIXME: Traverse up the scope hierarchy to find the constant as long as the parent is a static scope
// line 338
// line 911
// FIXME: set up a call configuration for this
// normal items at the "head" of the masgn
// Used during optimization passes to propagate type and other information
// line 1615
// We define an actual list to get around bug in java integration (1387115)
// documentation nodes
// MUST NOT be used across threads
// that's what JDK5 produces on Windows Vista
// obtain c
// Line where current executing unit is being evaluated
// line 555
// we basically ignore protocol. let someone report it...
// Explicit reference to these vars as symbols...
// line 1261
// ?x  | boolean | True if file1 exists and is executable by the effective uid/gid
// [recv]
// Modelled after c ruby implementation (java /,% not same as ruby)
// Get the container for this new module
// eval value and save it
// Note: we change current frames visibility here because the methods which call // this method are all "fast" (e.g. they do not created their own frame).
//consume the file name
/* $+: string matches last paren. */
// line 1381
// line 1610
// TODO: better algorithm to set precision needed
// it's a multiple-statement body, iterate over all elements in turn and chain if it get too long
// decimal
// we only close out if it's the slave stream, to avoid // closing a directly-mapped stream from parent process
// line 1239
// Fixme: Do we need the check or does Main.java not call this...they should consolidate
// line 488
// check current directory; if file exists, retrieve URL and return resource
// state[j] &= 0xffffffffL;
// line 1456
// check for thread events, in case we've been woken up to die
// Sometimes the value can be retrieved at "compile time".  If we succeed, nothing like it!   // We might not .. for the following reasons: // 1. The constant is missing, // 2. The reference is a forward-reference, // 3. The constant's value is only known at run-time on first-access (but, this is runtime, isn't it??) // 4. Our compiler isn't able to right away infer that this is a constant. // // SSS FIXME: // 1. The operand can be a literal array, range, or hash -- hence Operand //    because Array, Range, and Hash derive from Operand and not Constant ... //    Is there a way to fix this impedance mismatch? // 2. It should be possible to handle the forward-reference case by creating a new //    ForwardReference operand and then inform the scope of the forward reference //    which the scope can fix up when the reference gets defined.  At code-gen time, //    if the reference is unresolved, when a value is retrieved for the forward-ref //    and we get a null, we can throw a ConstMissing exception!  Not sure! //
// condition is always true, just compile it and not body
// Traverse the instructions in this basic block in reverse order! // Mark as dead all instructions whose results are not used!
// line 1113
// FIXME: these descriptions should probably be moved out, // to Constantine project which deals with all platform-dependent constants.
// The value of 1 is for Socket::AI_PASSIVE.
// only whitespace allowed after value for strict
// escape
// use parent's marshal
// If we define a class in Ruby, but later want to allow it to be defined in Java, // the allocator needs to be updated
// FIXME warning
// create constructor
// comparisons & checks // checks if the operand is non-null and non-false // EQQ a === call used only for its conditional results, as in case/when, begin/rescue, ...
// prepare labels for opt logic
// statically initialized below
// line 893
// line 785
// trailing garbage
// line 1722
// Add property name aliases
// can't be converted any more, return it
/*encode.limit() - */
// receiver first, so we know which call site to use
// No auto cleanup needed
// Top-level script!
// // utility methods //
// Paths which end in "/" or "\\" must be stripped off.
// This method handles '**/' patterns and delegates to // fnmatch_helper for the main work.
// Constants for seek
// TODO this should entry into error handling somewhere
// default for starting tempVariableIndex is ok
// TODO: MRI also can hadle Bignum here
// Now clear out any previously selected channels
// line 1011
// line 1107
// We clone dynamic scope because this will be a new instance of a block.  Any previously // captured instances of this block may still be around and we do not want to start // overwriting those values when we create a new one. // ENEBO: Once we make self, lastClass, and lastMethod immutable we can remove duplicate
// load arguments
// integer division
// if the read buffer is ahead, back up
// generate variable readers initialization code
// note that addMethod now does its own put, so any change made to // functionality here should be made there as well
// FIXME: we should also support orgs that use capitalized package // names (including, embarrassingly, the one I work for), but this // should be enabled by a system property, as the expected default // behavior for an upper-case value should be (and is) to treat it // as a class name, and raise an exception if it's not found
// leave it null and fall back on our normal invocation logic
/* Lattice TOP, BOTTOM, ANY values -- these will be used during dataflow analyses */
// predefine a few other methods we invoke directly elsewhere
// No actual test, so do 'when' if when expression is not nil
// can be overridden to be informed when objects are removed
/* rb_str_substr */
// line 753
// TODO: Ruby truncates string to specific size here, but our bytelist should handle this already?
// TODO: Ruby does not seem to care about invalid numeric mode values // I am not sure if ruby overflows here also...
// this constructor is used by fdopen, so we don't increment descriptor ref count
// line 1587
// We do both writable and writable_real through the same method because // in our java process effective and real userid will always be the same.
// not synchronizing these methods, no harm if these values get set more // than once. // (also note that there's no chance of getting a partially initialized // class/module, as happens-before is guaranteed by volatile write/read // of constants table.)
// ////////////////// LOW-LEVEL CONSTANT INTERFACE //////////////// // // fetch/store/list constants for this module //
// First we make modifications to the class, to adapt it to being // both a Ruby class and a proxy for a Java type
// Estimate the square root with the foremost 62 bits of squarD // bi and scale are a tandem
// TODO: opt for 2 and 3 ?
// no read requested, hook up read to parents output
// Map of label & basic blocks which are waiting for a bb with that label
//[IRubyObject, RubyClass, Visibility] //[IRubyObject, RubyClass] //[IRubyObject]
// JRubyClient
// we are presumably running a precompiled class; load directly
// line 549
// brute force construction inline
// snip off ruby or jruby command from list of arguments // leave alone if the command is the name of a script
// line 648
// Last full line read.
// compile first node only
// ?k  | boolean | True if file1 exists and has the sticky bit set
// JRUBY-852, ignore escape key (it causes IRB to quit if we pass it out through readline)
// value equality
"/* Something like cvar_cbase() from eval.c, factored out for the benefit     * of all the classvar-related node evaluations */"
/* zero length array */
// Build a new class and add it to the current scope (could be a script / module / class)
// line 411
// What static scoping relationship exists when it comes into being.
// line 1292
// Dummy top-level method for the class
// returns the stored value without processing undefs (autoloads)
// TODO assuming case is a fixnum
// store argument count information into scope
// line 852
// Invert the sign, since TZ format and Java format // use opposite signs, sigh... Also, Java API requires // the sign to be always present, be it "+" or "-".
// explode array, it's an internal "args" array
// construct the new interface impl and set it into the object
// add a "self" recv here // TODO: is this right?
// line 829
// construct new array proxy (ArrayJavaProxy)
// try to read grent to fail fast
// Create package name, by splitting on / and joining all but the last elements with a ".", and downcasing them.
// if root of method is rescue, compile as a light rescue
// ?u  | boolean | True if file1 has the setuid bit set
// We could not find all of them print out first one (we could print them all?)
// start out with a default RubyObject allocator
// we got a valid errno value
// if root of method is rescue, compile as light rescue
// array-of-interface-type creation/identity
// Assumption: tail is never a list node
// line 1041
// JRUBY-1000, fail early when attempting to subclass a final Java class; // solved here by adding an exception-throwing "inherited"
// after defn of $stderr as the call may produce warnings
// Note: this method produces meaningful results // only for RubyIO objects. For everything else returns 0.
// Unique ID assigned to this variable
// class or module
// line 1373
// Here starts the logic for the class definition
// line 984
// line 1626
// no args, do not pass args processor
// line 905
// This point is only reached if there was an exception handler installed.
// RubyUDPSocket
// FIXME: Why was this using a FullFunctionCallbackMethod before that did callSuper?
// TODO: WRONG - get interfaces from class
// can't use -v and stdin
// classes are directly in the hierarchy, so no special logic is necessary for implementer
// FIXME: do we really want 'declared' methods?  includes private/protected, and does _not_ // include superclass methods.  also, the getDeclared calls may throw SecurityException if // we're running under a restrictive security policy.
// line 445
// compile condition as non-expr and just compile "then" body
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// line 1313
// if more than 4 locals, get and populate the locals array too
// line 1082
//this relies on the Ruby rounding enumerations == Java ones, which they (currently) all are
// digits arr shifted, update all
// line 824
// retrieve call site from sites array
/* root fiber */
// Label for the start of the closure (used to implement redo) // Label for the end of the closure (used to implement retry)
// TODO: These were missing, so we're not handling them elsewhere?
// ?>  | boolean | True if the modification time of file1 is after that of file2
// start setup method
// Figure end-char.  '\0' is special to indicate begin=end and that no nesting?
// line 1014
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// line 1333
// try both
// line 420
// We can safely reference methods here instead of doing getMethods() since if we // are adding we are not using a IncludedModuleWrapper.
// Parent container for this context (can be dynamic!!) // If dynamic, at runtime, this will be the meta-object corresponding to a class/script/module/method/closure // List of IR instructions for this method
// also create the JavaProxy* classes
// indirect read-/write- volatile
// OBJ_INFECT
// load Object under value
// line 1273
// if it's method_missing, just invoke it
// All "C" marshalled objects descend from core classes, which are all RubyObject
//new Exception().printStackTrace();
"/* Compute Meet Over All Paths solution for this dataflow problem on the input CFG.     * This implements a standard worklist algorithm. */"
// if we have a specific-arity helper to construct an array for us, use that
// set thread context JRuby classloader here, for the main thread
// FIXME: Determine if a real allocator is needed here. Do people want to extend // JavaClass? Do we want them to do that? Can you Class.new(JavaClass)? Should // you be able to? // TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// MRI behavior: always check whether the file is writable // or not, even if we are to write 0 bytes.
// only fill if there actually will remain trailing storage
/* -------------- Private fields and methods below ---------------- */
// FIXME: what should these really be? Numeric?       assert x instanceof RubyComplex && y instanceof RubyComplex;
// line 1114
//////////////////// FRAME MANAGEMENT ////////////////////////
// What linenumber will the source think it starts from?
/* Explicitly use UTF-8 here. c.f. history.addToHistory using line.asUTF8() */
// TODO: make more efficient by not creating IRubyArray[]
// conversion
// line 860
//[IRubyObject] //[IRubyObject, IRubyObject] //[IRubyObject, RubyClass] //[IRubyObject, RubyClass, RubyClass] //[IRubyObject, RubyClass, Visibility] //[IRubyObject, RubyClass, Visibility, Visibility]
// line 1359
// line 1424
// MRI behavior: we don't print errno for actual Errno errors
// line 1234
// line 1734
// look for __file__ method name for compiled roots
// write
/* ---------- Public fields, methods --------- */
// Ruby name
//TODO: ary_sort_check should be done here
// 64-bit number, native (as fixnum)
// Initialize the "dummy" class used as a marker
// a while node could receive non-local flow control from any of these: // * a closure within the loop // * an eval within the loop // * a block-arg-based proc called within the loop
// TODO: This is probably BAD...
// HACK: force clinit to be created
// '~user/...' as path to expand
// This point is only reached if there was an exception handler // installed.
// line 1124
// long, slow way causes disabling
// add to the jitted methods set
//TODO: Should next and return also catch here?
// line 899
// This method is intended only for defining new classes in Ruby code, // so it uses the allocator of the specified superclass or default to // the Object allocator. It should NOT be used to define classes that require a native allocator.
// pragmas
"/*                     * Evaluates a Ruby expression and display the result.                     */"
// hmmmm
// line 619
// declare locals for Java debugging purposes
// try count specific args to determine required
// store it
// line 510
// Next immediate scope.  Variable and constant scoping rules make use of this variable // in different ways.
// hack to get right style for input
// line 1302
// now emit bodies
// CASE IR instructions are dummy instructions  // -- all when/then clauses have been converted into if-then-else blocks
// line 1057
// line 414
// raise will also wake the thread from selection
// multimethod, new logic
// line 481
// We depart here from strict adherence to MRI code, as MRI // uses C-sprintf, in part, to format numeric output, while // we'll use Java's numeric formatting code (and our own).
// TODO: make this do specific-arity calling
// <=> may return nil in many circumstances, e.g. 3 <=> NaN
// line 657
// line 1348
// line 941
// line 1387
// FIXME: In order for Thread to play well with the standard 'new' behavior, // it must provide an allocator that can create empty object instances which // initialize then fills with appropriate data.
// sizes must match
// String/Buffer to read it into
// Add real top to new top (unless this top is empty [only begin/end nodes or truly empty])
// only supports simple parallel assignment of up to 10 values to the same number of assignees
// line 754
// this is the only case it might be null here (in MetaClass construction)
// line 1789
// if entry starts with a slash, skip it since classloader resources never start with a /
/* not primitive or lc class */
// // Keep a reference to the temporary memory in the cache so it does // not get freed by the GC until the struct is freed //
// we have optimized switch cases, build a lookupswitch
// line 1869
// We use file test since it is faster than a stat; also euid == uid in Java always
// line 923
// root x is ready!
// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using "0" to indicate [] signature.
// // fields should really be an immutable map as it is never modified after construction //
// line 1135
// expression-based tests + bodies
// line 546
// set attr
// write `I' instance var signet if class is NOT a direct subclass of Object
// opt and rest, must be at least required
// line 1827 "DefaultRubyParser.y"
// Specify something that can't separate
// and we were given a specific exception
/* $.: last read line number */
// line 672
// bench Long fib
// line 344
// line 1728
// MRI-compatible basename handling for windows drive letter paths
// line 1008
// ensure zero is devoted to no method name
/* Surrogates */
// otherwise, there's a receiver, so we pass that in directly for the sclass logic
// line 726
// JRUBY-2673: if wrapping a NativeException, use the actual Java exception's trace as our Java trace
"/* ============================     * End of hash internals     * ============================     */"
// static scope
// Tries to load at compile-time the constant referred to by 'constRef'. // This might be possible if the constant is defined and is not a forward reference // to a value that will be defined later in the class.
// java.lang.Object is added at root of java proxy classes
// line 1162
// TODO: // MRI behavior: Call "+" or "add", depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context, op, b, true); -- this is MRI behavior. // We'll use ours for now, thus providing an ability to add Floats.
// // Force the client socket to be blocking //
// An interrupt or timeout may have caused us to miss // a notify that we consumed, so do another notify in // case someone else is available to pick it up.
// line 1067
// with block pass
// line 1058
// line 1100
// ...nothing
// proxy class for concrete classes.  also used for // "concrete" interfaces, which is why we have two fields
// head must not be null and there must be no "args" (like *arg)
"/*     * @param nv number of times to cycle or -1 to cycle indefinitely     */"
// line 1296
// Make the class name look nice, by splitting on _ and capitalize each segment, then joining // the, together without anything separating them, and last put on "Service" at the end.
/* bang: true, no match, no substitution */
// recheck condition
// no variable initialization, because we're reusing parent's scope (flat)
// Is this inline source (aka -e "...source...")
// This is pretty inefficient for building an array, so just raise an error if someone's using it for a lot of elements
// first, iterate over all required args
/* FIXME: arg_concat missing for opt_call_args*/
// line 833
// line 592
// ruby constants for strings (should this be moved somewhere else?)
//[RubyClass]
// line 1591
// last node, either !instanceof WhenNode or null, is the else
// line 1453
// line 1513
// scripts, classes, and modules
// In the case of two arguments, MRI will discard the portion of // the first argument after a decimal point (i.e., "floor"). // However in the case of a single argument, any portion after // the decimal point is honored.
// Time the compilation
// line 1895
// just rethrow
//do some padding, I don't understand the padding strategy
// hmm...
/* may need to handle ENC_CODERANGE_BROKEN */
// must be power of 2 // must be power of 2
// no library or extension found, try to load directly as a class
// line 1669
// line 646
// let RescuedBlock continue
// If there is a jar-file with the required name, we add this to the class path.
"/*         * Initialize some components.         */"
// Define a second version that doesn't take a block, so we have unique code paths for both cases.
// read
// FIXME: We should be getting this from the runtime rather than assume none? //return runtime.getEncodingService().getEncoding(runtime.getDefaultExternalEncoding());
// line 598
"/*      * This method takes as input a map of operands to their values, and outputs     *     * If the value map provides a value for any of the instruction's operands     * this method is expected to replace the original operands with the simplified values.     * It is not required that it do so -- code correctness is not compromised by failure     * to simplify     */"
// lists to aggregate variables and bodies for whens
// no args, no block
// MBCLEN_INVALID_P
// Record the loop we are beginning to process
// double-check the cache now that we're synchronized
// call chmod after we created the RandomAccesFile // because otherwise, the file could be read-only
// this covers primitives and (unlikely) lower-case class names
// not overridden, let's go
// isRetained=true
// note segmentShift differs from ConcurrentHashMap's calculation due to // issues with System.identityHashCode (upper n bits always 0, at least  // under Java 1.6 / WinXP)
// line 1462
/* $:: load path */
// prepare temp locals
// call getpwent to fail early if unsupported
// ignore, we're on the way out
// confirm we're not reopening self's channel
//AF_INET
// Add a forward reference from tgt -> currBB
// go through negated powers of 32 until we find one small enough
// colon3
// line 896
// box arguments
/* .setPosFrom($2);*/
// MRI behavior: use first byte of string value if len > 0
// line 1051
// MRI checks all types first:
// references to the Java object and its proxy will either both be // weak or both be soft, since the proxy contains a strong reference // to the object, so it wouldn't make sense for the reference types // to differ.
// no arg grouping, just use bulk assignment methods
// could not get canonical path, just use given path
// silent ?
// rb_class_boot
// include all interfaces
//No ClassCastException!
// signed short, big-endian
// treat start and end as start...end for end >= 0, start..end for end < 0
// For 'foo()'.  Args are only significant in maintaining backwards compatible AST structure
// never visited, should be ok
// promise to implement one to three
// need the array, use unoptz version
// Skip any commandline args if /usr/bin/env is in play
// ignore and try windows version
//System.err.println("calculateLength()/str=" + str);
// line 1705
//        case 4: //            signature = sig(Object.class, Object.class, Object.class, Object.class, Object.class); //            break; //        case 5: //            signature = sig(Object.class, Object.class, Object.class, Object.class, Object.class, Object.class); //            break;
/* xxx shouldn't check if valid option variable */
// FIXME: what is correct 'recv' argument? // (this does produce the desired behavior)
// framed invokers will have Ruby frames associated with them
