//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
//getDefaultProperties().setProperty(Environment.STATEMENT_BATCH_SIZE, NO_BATCH);
//lists, arrays //sets, maps, bags
// Add the type to the list of returned sqlResultTypes.
//private final String rootTableName;
//throw new UnsupportedOperationException("Can't write to a readonly object");
// look for a proxy
//Named Queries:
// these are just two unrelated table references
// This is now handled earlier in this method.
// remove initial ", "
// Find or create the WHERE clause
//Must be done here because of side-effect! yuck...
"//					int parameterStart = getWalker().getNumberOfParametersInSetClause(); //					List allParams = getIdSelectParameterSpecifications(); //					Iterator whereParams = allParams.subList( parameterStart, allParams.size() ).iterator();"
// todo : throw exception?
//refresh() does not pass an entityName
// The 'from element' that represents the elements of the collection.
//TODO: copy/paste from insertRows()
// Finally, read ahead one row to position result set cursor // at the first physical row we are interested in loading
//otherwise recreate the mapping between the collection and its key
// this is a collection initializer, so we must create a collection // for each of the passed-in keys, to account for the possibility // that the collection is empty and has no rows in the result set
//keep the behavior consistent even for boundary usages
// if the given name is un-qualified we may neen to qualify it
// basically just an adapted copy of find(CriteriaImpl)
// Recognition code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// while constructor is running
// This is not actually a constant, but a reference to FROM element.
//should this interface extend PropertyMapping?
// dup
//use suffix for the entity columns
// could be either an ordinal or JPA-positional parameter
//pre H3.2 behavior: super.getReturnType(ct, m);
// todo : look at optimizing these...
// the "root from-element" in correlated subqueries do need this piece
// Actually the semantics of the next three are really "Bag" // Note that, unlike objects, collection insertions, updates, // deletions are not really remembered between flushes. We // just re-use the same Lists for convenience.
// --Commented out by Inspection (12/4/04 9:10 AM): public abstract void addCondition(String alias, String[] columns, String condition);
//now tie it all together
//the first id found after the given id
// by default we report no support for NOWAIT lock semantics
// does this entity entry pertain to the entity persister in which we are interested (owner)?
// Does the LIMIT clause come at the start of the SELECT statement, rather than at the end?
// essentially, if the real session is closed allow any // method call to pass through since the real session // will complain by throwing an appropriate exception; // NOTE that allowing close() above has the same basic effect, //   but we capture that there simply to perform the unbind...
// nothing to do; even if the operand is a parameter, no way we could // infer an appropriate expected type here
// TODO: Should this really return null?  If not, figure out something better to do here.
// special case where we need to force incloude all subclass joins
// moved up from AbstractEntityPersister ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// may be final
// do not do anything
// Start performing the deletes
// Default the Proxool alias setting
//for arrays, we should end the collection load before resolving //the entities, since the actual array instances are not instantiated //during loading //TODO: or we could do this polymorphically, and have two //      different operations implemented differently for arrays
// empty means no scoping
//note there is a wierd implementation in the client side
//return memberPersister.getType();
// After that, process the JOINs. // Invoke a delegate to do the work, as this is farily complex.
// return the concrete type, or the underlying type if a concrete type // was not specified
// perform the actual work
"/*DataSource unpooled = DataSources.unpooledDataSource(				jdbcUrl, props.getProperty(Environment.USER), props.getProperty(Environment.PASS)			);*/"
// we need to grab the version value from the entity, otherwise // we have issues with generated-version entities that may have // multiple actions queued during the same flush
// no need to even collect this information if the persister is considered multi-table
// a "detached" collection that belonged to a different entity
// we don't need to worry about existing version being uninitialized // because this block isn't called by a re-entrant load (re-entrant // loads _always_ have lock mode NONE)
//only collections belonging to deleted entities are allowed to be dereferenced in the case of orphan delete
// the CascadingAction implementations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//Must occur after resolving identifiers!
//do the test
// This method should be implemented assuming it's valid to  // do start/stop/start -- leave state appropriate for another start
// process the "old" HQL style where aliases appear _first_ // ie. using the IN or IN CLASS constructions
// toggle autoCommit to false if set
// check nullability but do not perform command execute // we'll use scheduled updates for that.
//faster?
// this entity defines proeprty generation, so process those generated // values...
// dirty check against the database snapshot, if possible/necessary
// case of non-static field
// again, CCS did not have such a concept; however a reasonable // proximity is to clear the cache.  For non-transaction aware // caches, we will also do a clear at the end of the transaction
//return a proxy if appropriate
//ignore!
// (NOT (IS_NULL a b) ) => (IS_NOT_NULL a b)
//not found in inner query , try the outer query
// Regions can get instantiated in the course of normal work (e.g. // a named query region will be created the first time the query is // executed), so suspend any ongoing tx
//Access cached SQL
//where fragment must be empty!
//null caused some problems
// ROW ID
// TODO : not sure the best way to handle this. // The non-performant way :
// Reattachment of aPerson
// If the node has a first child, recurse into the first child.
//before cascade!
// TODO: this is very suboptimal for some subclasses (namely components), // since it does not take advantage of two-phase-load
// SORT
// this page intentionally left blank :)
// just ignore it for now, it'll get resolved later...
// parameters on the property mapping should // override parameters in the typedef
// simple cache of param metadata based on query string.  Ideally, the // original "user-supplied query" string should be used to retreive this // metadata (i.e., not the para-list-expanded query string) to avoid // unnecessary cache entries. // Used solely for caching param metadata for native-sql queries, see // getSQLParameterMetadata() for a discussion as to why...
// VERY IMPORTANT!!!! - This class needs to be free of any static references // to any CGLIB or Javassist classes.  Otherwise, users will always need both // on their classpaths no matter which (if either) they use. // // Another option here would be to remove the Hibernate.isPropertyInitialized() // method and have the users go through the SessionFactory to get this information.
// if it was dirtied by a collection only
// do nothing until we hit the rsult set containing the generated id
//reset the dotcount (but not the path) //after reset!
// if no batch, use "foo = ? and bar = ?"
// decode row selection...
//cache this
// todo : is there really any reason to kkeep trying if this fails once?
//get a snapshot
//registerFunction( "trim", new StandardSQLFunction( "trim", Hibernate.STRING ) );
// *load_1 // each type
// We now have the value of the property-ref we reference.  However, // we need to dig a little deeper, as that property might also be // an entity type, in which case we need to resolve its identitifier
// If it's not implied or it is implied and it's a many to many join where the target wasn't found.
//Careful: these methods do not initialize the collection.
// get the updated snapshot of the entity state by cloning current state; // it is safe to copy in place, since by this time no-one else (should have) // has a reference  to the array
// Collect the select expressions, skip the first child because it is the class name.
// the object is transient or detached
// at some point the generate phase needs to be moved out of here, // because a single object-level DML might spawn multiple SQL DML // command executions. // // Possible to just move the sql generation for dml stuff, but for // consistency-sake probably best to just move responsiblity for // the generation phase completely into the delegates // (QueryLoader/StatementExecutor) themselves.  Also, not sure why // QueryLoader currently even has a dependency on this at all; does // it need it?  Ideally like to see the walker itself given to the delegates directly...
// So this needs to be safe from concurrent modification problems. // It is safe because of how IdentityMap implements entrySet()
// EARLY EXIT!!!!
// miscellaneous support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/* static methods only - hide constructor */
//60 seconds
// simple nullability constraint
// TODO : better way?!?
//default pool size 20
/* | this | bean | args | raw bean | */
// aload 5 // load exception
// a many-to-many; // decrement currentDepth here to allow join across the association table // without exceeding MAX_FETCH_DEPTH (i.e. the "currentDepth - 1" bit)
// upgrade the lock if necessary: //lock(result, lockMode);
/*ArrayList sqlResultTypeList,*/
// don't even bother trying to read further
//needed to satisfy KeyValue
// If the from element isn't in the same clause, create a new from element.
//true if this is a query and we are loading multiple instances of the same collection role //otherwise this is a CollectionInitializer and we are loading up a single collection or batch
"// merges don't cascade to uninitialized collections //			//TODO: perhaps this does need to cascade after all...."
//Cope with special cases of AND, NOT, ()
// sql-server, at least needed this dropped after use; strange!
// Allows various loaders (ok mainly the QueryLoader :) to check // whether scrolling of their result set should be allowed. // // By default it is allowed.
//sort the updates by fk
// make it circular-reference safe
// If the query is already compiled, skip the compilation.
// Configured using the Properties File Configurator
// use the id assigned to the instance
// --- Inner classes (moved here from sql-gen.g) ---
"//		componentTuplizerFactory = new ComponentTuplizerFactory();"
// during deserialization, we need to reconnect all proxies and // collections to this session, as well as the EntityEntry and // CollectionEntry instances; these associations are transient // because serialization is used for different things.
// properties
// do a check
//TODO check there is no actual definition elemnents when a ref is defined
// The keyword used to specify an identity column, if identity column key generation is supported.
// Filter conditions need to be inserted before the HQL where condition and the // theta join node.  This is because org.hibernate.loader.Loader binds the filter parameters first, // then it binds all the HQL query parameters, see org.hibernate.loader.Loader.processFilterParameters().
// on the inverse, it makes sense that if a ThreadLocalSessionContext- // bound session then gets deserialized to go ahead and re-bind it to // the ThreadLocalSessionContext session map.
// Update the status of the object and if necessary, schedule an update
//addInitializedCollection(collection, persister, id);
//TODO: this is a bit arbitrary, expose a switch to the user?
// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call start
// TABLE
//information about properties of this class, //including inherited properties //(only really needed for updatable/insertable properties)
// some filters affecting the collection are enabled on the session, so do not do the put into the cache.
//Sybase fail if we don't do that, sigh...
//named query parameter
// used from testsuite
// InterSystems Cache' does not current support "SELECT ... FOR UPDATE" syntax... // Set your transaction mode to READ_COMMITTED before using
// RDMS has no known variation of a "SELECT ... FOR UPDATE" syntax...
// collectionPersister should not be null, but we don't want to throw // an exception if it is null
// why does this matter?
// Second-level / query cache:
//processCollectionProperty(token, q.getCollectionPersister(collectionRole), collectionName);
// conceivable that the dialect ctor could throw HibernateExceptions, so don't re-wrap
// a "detached" collection that originally belonged to the same entity
// TODO : this constructor form is *only* used from constructor directly below us; can it go away?
//element = XMLHelper.generateDom4jElement( persister.getNodeName() );
// Impl Note: allows multiple collection fetches as long as the // entire fecthed graph still "points back" to a single // root entity for return
// register hibernate types for default use in scalar sqlquery type auto detection
// do this when all the properties are updateable since there is // a certain likelihood that the information will already be // snapshot-cached.
// No batch statements
// why is all others non final ?
// found
// the name of a class
// Defensive, convenience methods
// create a new collection wrapper, to be initialized later
// hack/workaround as sqlquery impl depend on having a key.
// If this is an entity and the property is the identifier property, then use getIdentifierType(). //      Note that the propertyName.equals( propertyPath ) checks whether we have a component //      key reference, where the component class property name is the same as the //      entity id property name; if the two are not equal, this is the case and //      we'd need to "fall through" to using the property mapping.
// -- Loader implementation --
// found a ctor, but it was not publicly accessible so try to request accessibility
// don't care about other param types here, just those explicitly user-defined...
// would need an IdentitySet for this!
//else do nothing (don't even reassociate object!)
// The 'from element' that the property is in.
// the case of a foreign key to something other than the pk is handled in createPropertyRefConstraints
// start by looking for HQL keywords...
// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable
// iload_3 // i
// increment the version number (if necessary)
// TODO: what type?
// at the very least cleanup the data :)
// if the version of a newly instantiated object is not the same // as the version seed value, use that as the unsaved-value
// first, try to load it from the temp PC associated to this SS
// Set up the cache factory
// the element has been removed from the set
// model.getKey().setType( new Type( model.getIdentifier() ) );
//foo.bars.size (also handles deprecated stuff like foo.bars.maxelement for backwardness)
// the user specifically supplied update="true", // which constitutes an illegal combo
//TODO: Should this be an InitializeEntityEventListener??? (watch out for performance!)
//TODO: this is too conservative; if all preceding joins were  //      also inner joins, we could use an inner join here
// NOTE : ( max - 1 ) because first is zero-based while max is not...
// ignore this row of results! Note the early exit
// short
// FieldInterceptor impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Look up class name using the first identifier in the path.
// to be safe...
// persist() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If the property is a special collection property name, return a CollectionPropertyMapping.
// todo : should we additionally check the current isolation mode explicitly?
// The getEmailAddresses() might trigger a lazy load of the collection
// If you're closing down the ConnectionProvider chances are an // is not a real big deal, just warn
// add the discriminator
// loading ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// aastore // args
//TODO: assertion only, could be optimized away
// Notify the FROM element that it is being referenced by the select.
// Handle any filters applied to this collection for many-to-many
// we finish all the "removes" first to take care of possible unique // constraints and so that we can take better advantage of batching
// if its an uninitialized proxy it can't be transient
//trim off the length/precision/scale
// swallow it, and continue to roll back JTA transaction
// We must return a valid RDMS/RSA command from this method to // prevent RDMS/RSA from issuing *ERROR 400
// don't even bother trying to read any further
//just to help out during the load (ugly, i know)
//Primary key constraint
// Begin second unit of work
//TODO: terrible implementation!
// all DistinctRootEntityResultTransformer are considered equal ~~~~~~~~~~~
// Schedule updates to collections:
//TODO: refactor to .sql package
// TODO Is this a valid operation on a timestamps cache?
//TODO: this dependency is kinda Bad
//aliasRefNode.resolve( false, false, aliasRefNode.getText() ); //TODO: is it kosher to do it here? //TODO: is it kosher to do it here?
//this one needed only for guessEntityMode()
// TODO : temporary initial step towards HHH-1907
// call this before any Iterator method to make sure that the current Iterator // is not exhausted
// need to look it up from the persistence-context
// Detect discriminator values...
// use default behavior
//swaldman 2006-08-28: define c3p0-style configuration parameters for initialPoolSize, which //                     hibernate sensibly lets default to minPoolSize, but we'll let users //                     override it with the c3p0-style property if they want.
// For Timestamps, we default to a separate config
// the closure of all columns used by the entire hierarchy including // subclasses and superclasses of this class
// look for existing collection as part of the persistence context
// or BYTE // or TEXT? // or MONEY
/* COLUMN and TABLE should be renamed but it would break the public API */
// implicit joins are always(?) ok to reuse
// Configured using the JAXP Configurator
//the entity is associated with the session, so check its status
// saveOrUpdate() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// should indicate that we are processing an INSERT/UPDATE/DELETE // query with a subquery implied via a collection property // function. Here, we need to use the table name itself as the // qualification alias. // TODO : verify this works for all databases... // TODO : is this also the case in non-"indexed" scenarios?
// Default to sharing the entity cache if there is one
// we have a Javassist enhanced entity
// Custom sql
// WebSphere, however, is not a sane JEE/JTA container...
// then the pojo tuplizer, using the dynamic-map tuplizer if no pojo representation is available
// both many-to-one and one-to-one are represented as a // Property.  EntityPersister is relying on this value to // determine "lazy fetch groups" in terms of field-level // interception.  So we need to make sure that we return // true here for the case of many-to-one and one-to-one // with lazy="no-proxy" // // * impl note - lazy="no-proxy" currently forces both // lazy and unwrap to be set to true.  The other case we // are extremely interested in here is that of lazy="proxy" // where lazy is set to true, but unwrap is set to false. // thus we use both here under the assumption that this // return is really only ever used during persister // construction to determine the lazy property/field fetch // groupings.  If that assertion changes then this check // needs to change as well.  Partially, this is an issue with // the overloading of the term "lazy" here...
// we already have a callback registered; either a local // (org.hibernate.Transaction) transaction has accepted // callback responsibilities, or we have previously // registered a transaction synch.
// If this is 'elements' then create a new FROM element.
// SQL Server (at least up through 2005) does not support defining // cascade delete constraints which can circel back to the mutating // table
// Collection wrappers, by the CollectionKey //key=CollectionKey, value=PersistentCollection
// SELECT p FROM p IN CLASS eg.Person ORDER BY p.Name, p.Address, p
//    protected RegionRootListener listener;
// return ;
// this should not happen since the DTD prevents it
// The CollectionEntry.isReached() stuff is just to detect any silly users   // who set up circular or shared references between/to collections.
//identifier collections not supported for 1-to-many
//TODO: add a CriteriaImplementor interface //      this class depends directly upon CriteriaImpl in the impl package...
//TODO: *two* hashmap lookups here is one too many...
// unhappy about this being public ... is there a better way?
// after *all* persisters and named queries are registered
// EARLY EXIT!!!
//its already loaded so don't need to hydrate it
// todo : modify the class definition if not already transformed...
// if the condition is not already there...
// If the first identifier in the path referrs to the class alias (not the class name), then this // is a correlated subselect.  If it's a correlated sub-select, use the existing table alias.  Otherwise // generate a new one.
// If we've been blocking for the mutex, perhaps another // thread has already reestablished the root. // In case the node was reestablised via replication, confirm it's  // marked "resident" (a status which doesn't replicate)
//use a degenerated strategy for backward compatibility
// The uber-rule here is that we need to include  subclass joins if // the FromElement is in any way dereferenced by a property from // the subclass table; otherwise we end up with column references // qualified by a non-existent table reference in the resulting SQL...
// A collection of components...
//by default
//for EJB3
// features which remain constant across 8i, 9i, and 10g ~~~~~~~~~~~~~~~~~~
// We only build caches if *none* were passed in.  Passing in // caches counts as a clear statement of exactly what is wanted
// switch
// for native-sql queries, the param metadata is determined outside // any relation to a query plan, because query plan creation and/or // retreival for a native-sql query depends on all of the return // types having been set, which might not be the case up-front when // param metadata would be most useful
// a nested composite element
// xmlforest requires a new kind of function constructor
//will result in a SQL UPDATE:
// only the identifier property field name can be a reference to the associated entity's PK...
// Add NOT if it's negated.
// The keyword used to insert a row without specifying // any column values
"//	protected List extendsQueue;"
// the referenced node text is the special 'id'
// we know only the rhs-hand type, so use that
// (NOT (LE a b) ) => (GT a b)
//join = q.createJoinFragment(useThetaStyleJoin);
// if the natural-id is marked as non-mutable, it is not retrieved during a // normal database-snapshot operation...
// inject the WHERE after the parent
// aload_1 // load the bean
// Deserialize //-----------------------------------------------------------------------
"/** Create an action that will evict collection and entity regions based on queryspaces (table names).	 *  TODO: cache the autodetected information and pass it in instead.	 **/"
// If this from element is a collection and the path is a collection property (maxIndex, etc.) then // generate a sub-query.
"//	void setComponentTuplizerFactory(ComponentTuplizerFactory componentTuplizerFactory) { //		this.componentTuplizerFactory = componentTuplizerFactory; //	}"
// note that for sequential scrolling, we make the assumption that // the first persister element is the "root entity"
// lock() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//optimistic-lock="all", include all updatable properties //optimistic-lock="dirty", include all properties we are updating this time
//TODO: reenable if we also fix the above todo
//skip the driving table
// Invoke setScalarColumnText on each constructor argument.
// handles arrays and newly instantiated collections
//yukky! Don't you have subclasses for that! //TODO race conditions can happen here
// Since the result set cursor is always left at the first // physical row after the "last processed", we need to jump // back one position to get the key value we are interested // in skipping
// Now, set the text for this node.  It should be the element columns.
// inner joins can be abbreviated to 'join'
// Oracle driver reports to support getGeneratedKeys(), but they only // support the version taking an array of the names of the columns to // be returned (via its RETURNING clause).  No other driver seems to // support this overloaded version.
//TODO: eventually put this back in, once we think all is fixed //Object otherAlias = columnsUnique.put(qualifiedColumn, columnAlias);
"// if we get here, it is possible that we have a proxy 'in the way' of the merge map resolution... // 		NOTE: decided to put this here rather than in the above loop as I was nervous about the performance //		of the loop-in-loop especially considering this is far more likely the 'edge case'"
// ( (Column) ( (SimpleValue) ic.getIndex() ).getColumnIterator().next() // ).setNullable(false);
//INITIALIZATION:
// ParameterContainer impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// 'hibernate.temp.use_jdbc_metadata_defaults' is a temporary magic value. // The need for it is intended to be alleviated with future developement, thus it is // not defined as an Environment constant... // // it is used to control whether we should consult the JDBC metadata to determine // certain Settings default values; it is useful to *not* do this when the database // may not be available (mainly in tools usage).
//TODO: can we limit stored procedures ?!
// try block is a hack around fact that currently tuplizers are not // given the opportunity to resolve a subclass entity name.  this // allows the (we assume custom) interceptor the ability to // influence this decision if we were not able to based on the // given entityName
// Begin unit of work
// Interceptor returned null, so do the dirtycheck ourself, if possible
//TODO: theoretically non-threadsafe...
//unwrap it
// NOTE : evict() operates locally only (i.e., does not propogate // to any other nodes in the potential cluster).  This is // exactly what is needed when we destroy() here; destroy() is used // as part of the process of shutting down a SessionFactory; thus // these removals should not be propogated
// todo: this was added to support initializing an entity's EntityEntry snapshot during reattach; // this should be refactored to instead expose a method to assemble a EntityEntry based on this // state for return.
// Get the function return value type, based on the type of the first argument.
//columns
// This will call initialize(tok)!
// SUBCLASS PROPERTY CLOSURE
// performance op to avoid the array search
/////////////////////////////////////////////////////////////////////////// // USED ONLY FOR REGRESSION TESTING!!!! // // todo : obviously get rid of all this junk ;) ///////////////////////////////////////////////////////////////////////////
// for a subquery, the alias to use depends on a few things (we // already know this is not an overall SELECT): //      1) if this FROM_ELEMENT represents a correlation to the //          outer-most query //              A) if the outer query represents a multi-table //                  persister, we need to use the given alias //                  in anticipation of one of the multi-table //                  executors being used (as this subquery will //                  actually be used in the "id select" phase //                  of that multi-table executor) //              B) otherwise, we need to use the persister's //                  table name as the column qualification //      2) otherwise (not correlated), use the given alias
// We ignore minimalPutOverride. JBossCache putForExternalRead is // already about as minimal as we can get; it will promptly return // if it discovers that the node we want to write to already exists
//Blobs are ignored by merge()
// skip finalize methods
//TODO: redesign how PropertyAccessors are acquired...
// object loaded by update()
//TODO: inefficient if that cache is just going to ignore the updated state!
//postDelete: // After actually deleting a row, record the fact that the instance no longer  // exists on the database (needed for identity-column key generation), and // remove it from the session cache
// Get the caller principals
// Identity map of array holder ArrayHolder instances, by the array instance
// standard sql92 functions (can be overridden by subclasses)
// getfield // get field "$JAVASSIST_CALLBACK" defined already
// boolean
//this is a query and we are loading multiple instances of the same collection role
"//		 You may still have other ResultSets or update counts left to process here  //		 but you can't do it now or the ResultSet you just got will be closed "
// add new ordered map
// one or the other needs to be a datetime for us to get into this method in the first place...
// Iterate through the alias,JoinSequence pairs and generate SQL token nodes.
// mappings might contain either the "raw" extends name (in the case of // an entity-name mapping) or a FQN (in the case of a POJO mapping).
//NOTE: unlike all other Loaders, this one is NOT //      multithreaded, or cacheable!!
// BATCH SIZE
// Various Expectation instances ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// The following variables are stacks that keep information about each subexpression // in the list of nested subexpressions we are currently processing.
// Get an exclusive right to update JBC for this key from this node.
//truncate the identifier to the max alias length, less the suffix length
//TODO: should we use SELECT .. FOR UPDATE?
//TODO: handle property-ref
// we have a placeholder, spin forward till we find the end
// if it was a reference to self, don't need to nullify // unless we are using native id generation, in which // case we definitely need to nullify
// return existing object or initialized proxy (unless deleted)
// FIXME hack to work around fact that calling // Node added = root.addChild( fqn ); doesn't  // properly set the version on the node
// state ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Constructors ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//only needed during compilation phase...
// updateable only because the user did not specify  // anything; just override it
// the mapping of entity names to their latest batch numbers.
// the ids are fully resolved, so compare them with isDirty(), not isModified()
// Never include subclasses for implied from elements.
// add the primary key
// no foreign key element of for a one-to-many
// the standard SQL function name is current_timestamp...
//return the id in the event object
//checkForEnd = false;
// more specifically : "? [op] datetime" //      1) if the operator is MINUS, the param needs to be of //          some datetime type //      2) if the operator is PLUS, the param needs to be of //          some numeric type
//include the discriminator and class-level where, but not filters
//Schema export:
// Just add a 'not' parent.
//maintain correct duplication if loaded in a cartesian product
//DELETED
// "finish off" the join
"//		return getFactory().getSettings().getBytecodeProvider().getProxyFactoryFactory().buildProxyFactory();"
// transfer an explicitly defined entity name // handle the lazy attribute
//need to do that here rather than in the save event listener to let //the post insert events to have a id-filled entity when IDENTITY is used (EJB3)
// return a newly loaded object
//ick!
// we need to strip off the embedded parens so that sql-gen does not double these up
// iterate over the *old* list
// hibernate type mapping support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//end of array, start filling again from start
// Method expressions in a SELECT should always be considered scalar.
// (NOT (NOT_BETWEEN a b) ) => (BETWEEN a b)
// The standard comparator types are not Serializable but are singletons
//TODO: eventually, rowIdName[j]
//==elementType ??
//implicit polymorphism not supported (would need a union)
// calls executeBatch()
// If the from element represents a JOIN_FRAGMENT and it is // a theta-style join, convert its type from JOIN_FRAGMENT // to FROM_FRAGMENT
// Possibly handle :something parameters for the query ?
//HashMap columnsUnique = new HashMap();
// aliases for identifier ( alias.id ); skip if the entity defines a non-id property named 'id'
//swallow it (the transaction _was_ successful or successfully rolled back)
// NOTE: we need to do the wrap here even if its not "dirty", // because collections need wrapping but changes to _them_ // don't dirty the container. Also, for versioned data, we // need to wrap before calling searchForDirtyCollections
// our parent is another dot node, meaning we are being further dereferenced. // thus we need to generate a join unless the parent refers to the associated // entity's PK (because 'our' table would know the FK).
// otherwise assume the parent is the the criteria that created us
// This is an explicit FROM element.
//Icky workaround for MySQL bug:
// Get ready to start adding nodes.
// Need to parse off the column qualifiers; this is assuming (which is true as of now) // that this is only used from update and delete HQL statement parsing
//if we are inside a new Result(), but not inside a nested function
//chop the last union (all)
// create our own copy of the user-supplied tuplizer impl map
// function support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO : would be great to have a Mapping#hasNonIdentifierPropertyNamedId method // I don't believe that Mapping#getReferencedPropertyType accounts for the identifier property; so // if it returns for a property named 'id', then we should have a non-id field named id
//TODO: does this really need to be here? //      does the collection already have //      it's own up-to-date snapshot?
//return classAlias == null ? className : classAlias;
//TODO: this is a little inefficient, don't need to do a whole //      deep replaceElements() call
//TODO: native ids
//TODO: for some dialects it would be appropriate to add the renderOrderByPropertiesSelect() to other select strings
// for expected parameter type injection, we expect that the lhs represents // some form of property ref and that the children of the in-list represent // one-or-more params.
// -- Loader overrides --
//NOTE EARLY EXIT!
// go ahead and set the lazy here, since pojo.proxy can override it.
// this piece is needed for usage in select clause
// Don't hold a transactional lock for this
// For property references generate <tablealias>.<columnname> as <projectionalias>
//must add to JNDI _after_ adding to HashMaps, because some JNDI servers use serialization
// needed later for many-to-many/filter application
// the object is persistent
// Now update only the tables with dirty properties (and the table with the version number)
// A container for collections we load up when the owning entity is not // yet loaded ... for now, this is purely transient!
// Bind the order-by
// byte
// for a null target, or a target which is the same as the original, we // need to put the merged elements in a new collection
// SELECT p FROM p IN CLASS eg.Person GROUP BY p.Name, p.Address, p
// the owning entity may have been deleted and its identifier unset due to // identifier-rollback; in which case, try to look up its identifier from // the persistence context
// intializes result by side-effect
// TODO: I don't really like this implementation; it would be better if // this was handled by searchForDirtyCollections()
// The property is a component...
// we can go straight to the first required row
// this is the second pass through on a merge op, so here we limit the // replacement to associations types (value types were already replaced // during the first pass)
//return memberPersister.getPropertyType(propertyName);
// then bind it
// aload_2 // load the args
// might need to run a different filter entirely after the flush // because the collection role may have changed
// todo : hack!!! // NOTE : here we cleanup the load context when we have no more local // LCE entries.  This "works" for the time being because really // only the collection load contexts are implemented.  Long term, // this cleanup should become part of the "close result set" // processing from the (sandbox/jdbc) jdbc-container code.
// HHH-2481 make sure the callback gets cleared, otherwise the instance stays in a static thread local.
// No explicit select expression; render the id and properties // projection lists for every persister in the from clause into // a single 'token node'. //TODO: the only reason we need this stuff now is collection filters, //      we should get rid of derived select clause completely!
// Handle collection-fiter compilation. // IMPORTANT NOTE: This is modifying the INPUT (HQL) tree, not the output tree!
// This is the legacy behaviour for HQL queries...
// sql server just returns automatically
// create a new batch for this type. The batch number is the number of current batches.
// "pass along" our initial embedded parameter node(s) to the first generated // sql fragment so that it can be handled later for parameter binding...
// select clauses for insert statements should alwasy be treated as shallow
//because numeric can be anything
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// Put the THETA_JOINS node before the HQL condition, after the filters.
// and the qualifier is not the alias of this criteria //      -> check to see if we belong to some criteria other //          than the one that created us
// we found some extends attributes referencing entities which were // not already processed.  here we need to locate all entity-names // and class-names contained in this document itself, making sure // that these get removed from the extendz list such that only // extends names which require us to delay processing (i.e. // external to this document and not yet processed) are contained // in the returned result
// Reset the node type, because the rest of the system is expecting FROM_FRAGMENT, all we wanted was // for the factory to create the right sub-class.  This might get reset again later on anyway to make the // SQL generation simpler.
//the owner of the association is not the owner of the id
// default is POJO
//use a combination of foreign key columns and pk columns, since //the ordering of removal and addition is not guaranteed when //a child moves from one parent to another
//this bit is only *really* absolutely necessary for handling //requestedId, but is also good if we merge multiple object //graphs, since it helps ensure uniqueness
// This next bit is to allow for both unsaved-value="negative" // and for "older" behavior where version number did not get // seeded if it was already set in the object // TODO: shift it into unsaved-value strategy
//TODO: is this really necessary????
// continue loop
// cascade-delete to collections BEFORE the collection owner is deleted
// reference type
// we don't need to worry about any condition in the ON clause // here (toFromFragmentString), since anything in the ON condition // is already applied to the whole query
//grab its state saved at deletion
//before adding to collection!
// determine the type of the first argument...
//  origin, path, implied, columns, classAlias,
// otherwise, everything ok.
//use dialect default properties
// Collection load contexts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
